MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
3/2012	26.66	0.09	27.29	0.00	27.85	-0.47	26.92	-0.44	2701		23,932258		30,893548		277.4	
4/2012	26.21	0.54	27.68	0.07	28.24	-0.35	27.40	-0.44	2846		24,62		31,623333		195.6	
5/2012	25.45	0.97	27.39	0.10	28.64	-0.25	27.64	-0.32	2971		24,648387		31,977419		167.8	
6/2012	24.39	1.24	26.89	0.26	28.82	-0.08	27.63	-0.10	2965		24,773333		32,54		85.4	
7/2012	22.51	0.46	26.34	0.52	28.81	-0.04	27.46	0.15	2867		24,496774		32,509677		83.00	
8/2012	21.53	0.42	25.71	0.48	28.89	0.12	27.25	0.29	2677		25,106452		34,045161		26.6	
9/2012	21.31	0.45	25.57	0.50	29.12	0.33	27.37	0.50	2202		25,11		34,553333		90.3	
10/2012	20.97	-0.20	25.33	0.21	29.20	0.42	27.28	0.45	1743		25,593548		34,393548		181.3	
11/2012	21.31	-0.53	25.28	0.09	29.12	0.41	27.10	0.33	1660		25,786667		34,116667		284.5	
12/2012	22.40	-0.68	24.90	-0.46	28.73	0.15	26.45	-0.27	1748		24,406452		31,63871		266.2	
1/2013	24.47	-0.25	25.11	-0.69	28.45	0.10	26.15	-0.56	2079		24,816129		32,325806		314.6	
2/2013	25.94	-0.23	26.03	-0.51	28.11	-0.09	26.39	-0.49	2336		24,132143		31,178571		342.1	
3/2013	26.07	-0.50	27.08	-0.21	27.96	-0.36	26.96	-0.40	2603		24,477419		31,287097		427.4	
